sno,data,link,date
138,"[['73.07375991682007', '19.125619727341167'], ['78.7919637299578', '27.612141890738172']]",https://timesofindia.indiatimes.com/city/mumbai/mumbai-insurance-companies-to-pay-rs-3-crore-in-2016-road-accident-case/articleshow/93488749.cms,"Aug 11, 2022"
139,"[['74.81596807973516', '23.521613228515825']]",https://timesofindia.indiatimes.com/city/mumbai/two-children-killed-in-road-accident-in-mumbai/articleshow/90434255.cms,"Mar 25, 2022"
140,"[['73.34057783520468', '18.78184780909659'], ['81.57236587955657', '21.327963939216033']]",https://timesofindia.indiatimes.com/city/navi-mumbai/four-killed-seven-injured-in-road-accident-on-mumbai-pune-expressway/articleshow/89582464.cms,"Feb 15, 2022"
141,[],https://timesofindia.indiatimes.com/city/nashik/2-die-in-separate-road-accidents-in-nashik-city/articleshow/91059171.cms,"Apr 25, 2022"
142,"[['78.28314111824561', '21.34952577964719'], ['76.89573001025558', '20.855057550212432']]",https://timesofindia.indiatimes.com/city/nagpur/maharashtra-one-year-old-girl-dead-parents-two-siblings-injured-in-road-accident/articleshow/93694314.cms,"Aug 21, 2022"
143,"[['75.85712771781265', '21.165820852259834']]",https://timesofindia.indiatimes.com/city/nashik/maharashtra-four-killed-in-road-accident-after-falling-from-flyover-in-jalgaon/articleshow/92541063.cms,"Jun 29, 2022"
144,"[['74.67511697760565', '19.20454359941159']]",https://timesofindia.indiatimes.com/city/pune/maharashtra-six-killed-seven-injured-in-road-accident-at-ahmednagar/articleshow/91373054.cms," May 6, 2022"
146,"[['77.09057499506972', '19.361791748547702']]",https://timesofindia.indiatimes.com/city/nashik/information-officer-dies-in-road-accident/articleshow/88625633.cms," Jan 1, 2022"
147,[],https://timesofindia.indiatimes.com/city/pune/3-highway-stretches-criss-crossing-city-witness-most-road-fatalities/articleshow/90630087.cms," Apr 4, 2022"
148,['in Jail Road area'],https://timesofindia.indiatimes.com/city/nashik/nashik-city-two-killed-in-separate-road-accidents/articleshow/88509767.cms,"Dec 27, 2021"
149,[],https://timesofindia.indiatimes.com/city/pune/74-pedestrians-died-on-road-till-nov-end-over-twice-from-2020/articleshow/88348198.cms,"Dec 18, 2021"
